consumo	potencia	annus	peso	precio	origen	acel
38	63	82	2125	4350	1	14.7
36	70	82	2125	4550	1	17.3
36	88	82	2160	6350	3	14.5
36	75	82	2205	6500	3	14.5
34	70	82	2245	5425	3	16.9
38	67	82	1965	4625	3	15
32	67	82	1965	4875	3	15.7
38	67	82	1995	5075	3	16.2
25	110	82	2945	7300	1	16.4
38	85	82	3015	7450	1	17
26	92	82	2585	6000	1	14.5
22	112	82	2835	6100	1	14.7
32	96	82	2665	7700	3	13.9
36	84	82	2370	5475	1	13
27	90	82	2950	8400	1	17.3
27	86	82	2790	5975	1	15.6
44	52	82	2130	5075	2	24.6
32	84	82	2295	5650	1	11.6
28	79	82	2625	4925	1	18.6
31	82	82	2720	6050	1	19.4
